场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
林荫一,1σ,0.0434,0.0114,0.0017,0.0449,0.033,0.008,0.004,0.0086,0.0008,0.1088,94.83,569.69
,2σ,0.0243,0.0114,0.0043,0.0268,0.017,0.012,0.005,0.0514,0.0392,0.1188,,
,3σ,0.0415,0.0203,0.0043,0.0462,0.033,0.037,0.013,0.0586,0.0108,0.0888,,
,RMS,0.0494,0.0373,0.0396,0.0619,0.0257,0.0267,0.0126,0.0211,0.0203,0.1101,,
,MAX,0.124,0.1024,0.0857,0.154,0.084,0.167,0.073,0.0814,0.0408,-0.0788,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
八一路隧道-往,1σ,0.0579,0.009,0.0073,0.0586,0.01,0.035,0.01,0.0014,0.0092,0.0888,7.21,640.36
,2σ,0.1107,0.0888,0.0087,0.142,0.01,0.017,0.015,0.0014,0.0092,0.0988,,
,3σ,0.1203,0.0999,0.0127,0.1564,0.005,0.0,0.025,0.0114,0.0008,0.0888,,
,RMS,0.0684,0.0591,0.0163,0.0904,0.0388,0.0319,0.016,0.0195,0.0198,0.0877,,
,MAX,0.1203,0.1,0.0137,0.1564,0.38,0.144,0.087,0.0614,0.1208,-0.0688,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
东湖隧道-往,1σ,0.7522,3.8509,1.1373,3.9237,0.018,0.136,0.005,0.0114,0.0092,0.0988,0.84,6621.42
,2σ,0.0906,1.5286,1.6463,1.5313,0.016,0.033,0.006,0.0114,0.0292,0.0988,,
,3σ,0.5877,1.8457,2.0533,1.937,0.029,0.016,0.004,0.0086,0.0108,0.0988,,
,RMS,0.5592,1.3582,1.1048,1.4688,0.0384,0.049,0.0168,0.0292,0.0314,0.1013,,
,MAX,1.0966,3.8864,-0.0093,3.9574,0.279,0.286,0.089,0.2514,0.2308,-0.0788,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷二-高速,1σ,0.0066,0.0013,0.0177,0.0067,0.023,0.019,0.013,0.0086,0.0308,0.0888,99.66,11825.78
,2σ,0.0122,0.0089,0.0097,0.0151,0.067,0.019,0.002,0.0014,0.0108,0.0788,,
,3σ,0.0142,0.0012,0.0013,0.0142,0.003,0.02,0.007,0.0186,0.0408,0.0888,,
,RMS,0.0204,0.0164,0.1145,0.0261,0.0478,0.0459,0.0408,0.0347,0.0538,0.0871,,
,MAX,0.1895,0.1986,0.1697,0.2041,0.355,0.423,0.334,0.2314,0.2808,0.0112,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程,1σ,0.0128,0.0068,0.0137,0.0145,0.0,0.021,0.004,0.0014,0.0208,0.0988,84.86,127598.84
,2σ,0.0048,0.0018,0.0087,0.0051,0.01,0.002,0.003,0.0114,0.0208,0.0088,,
,3σ,0.0,0.0084,0.0247,0.0084,0.001,0.004,0.003,0.0286,0.0408,0.0512,,
,RMS,0.4615,0.5313,0.295,0.7037,0.0314,0.0315,0.0145,0.0336,0.047,0.3154,,
,MAX,3.276,3.8864,0.5127,4.3051,0.778,1.066,0.342,0.7614,0.5408,1.8112,,
