场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷_float,1σ,0.0108,0.0355,0.0167,0.0371,0.007,0.056,0.018,0.0284,0.0263,0.0024,0.0,0.0
,2σ,0.0108,0.0355,0.0167,0.0371,0.007,0.056,0.018,0.0284,0.0263,0.0024,,
,3σ,0.0108,0.0355,0.0167,0.0371,0.007,0.056,0.018,0.0284,0.0263,0.0024,,
,RMS,0.0108,0.0355,0.0167,0.0371,0.007,0.056,0.018,0.0284,0.0263,0.0024,,
,MAX,0.0108,0.0355,0.0167,0.0371,0.007,0.056,0.018,0.0284,0.0263,0.0024,,
