场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷_fix,1σ,0.0205,0.0229,0.0127,0.0307,0.002,0.0,0.002,0.0049,0.006,0.0082,100.0,5759.18
,2σ,0.0044,0.0226,0.0177,0.0231,0.006,0.009,0.018,0.0071,0.0347,0.0269,,
,3σ,0.0134,0.0232,0.0077,0.0268,0.013,0.0,0.0,0.0032,0.003,0.041,,
,RMS,0.0164,0.0298,0.0421,0.034,0.011,0.0116,0.0062,0.0107,0.0132,0.0217,,
,MAX,0.0462,0.0608,0.2343,0.0726,0.057,0.082,0.033,0.0539,0.0532,0.1424,,
