场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,恢复固定解时间
八一路隧道-往,10s,0.12509637192866419,0.23271789460786668,0.004235251621884434,0.25980398437887625,0.29499999999999993,0.32399999999999984,0.16899999999999993,-0.09395548110207619,0.28616037477114187,0.05547902660311223,6.599999999976717
,30s,1.3371709179453852,0.25378173339963694,0.6002354051768234,1.4088081201477776,0.29499999999999993,0.32399999999999984,0.16899999999999993,0.02604451889792392,0.28616037477114187,0.1054790266031236,
,60s,6.04433902613088,0.25378173339963694,1.0312385913281432,6.529573865747786,0.5280000000000005,0.32399999999999984,0.17200000000000004,0.126044518897924,0.28616037477114187,0.15547902660312074,
,120s,6.04433902613088,0.25378173339963694,1.0312385913281432,6.529573865747786,0.5280000000000005,0.32399999999999984,0.17200000000000004,0.126044518897924,0.28616037477114187,0.15547902660312074,
,500m,2.1308142026680836,0.25378173339963694,0.7392356512988179,2.2688958831608677,0.29499999999999993,0.32399999999999984,0.16899999999999993,0.02604451889792392,0.28616037477114187,0.1254790266031196,
,1000m,6.04433902613088,0.25378173339963694,1.0312385913281432,6.529573865747786,0.5280000000000005,0.32399999999999984,0.17200000000000004,0.126044518897924,0.28616037477114187,0.15547902660312074,
,2000m,6.04433902613088,0.25378173339963694,1.0312385913281432,6.529573865747786,0.5280000000000005,0.32399999999999984,0.17200000000000004,0.126044518897924,0.28616037477114187,0.15547902660312074,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,恢复固定解时间
东湖隧道-往,10s,0.05895380971679909,0.19285804088423622,-0.0017647511251561105,0.19477916445502175,0.08200000000000074,0.2550000000000008,0.11599999999999999,0.09604451889792376,0.07616037477114236,0.04547902660312132,22.79999999998836
,30s,0.05895380971679909,3.5086950734781497,0.4652369576527798,4.665966670611467,0.2680000000000007,0.5869999999999997,0.11599999999999999,0.09604451889792376,0.236160374771142,0.04547902660312132,
,60s,0.05895380971679909,15.997227719416868,1.8702571940950494,16.75385667774421,0.2680000000000007,0.9710000000000001,0.21700000000000003,0.09604451889792376,0.286160374771142,0.04547902660312132,
,120s,0.05895380971679909,33.743001693706645,2.8613403936557913,36.56946472259588,0.2680000000000007,1.1770000000000014,0.21700000000000003,0.09604451889792376,0.286160374771142,0.04547902660312132,
,500m,0.05895380971679909,1.8867969643133367,0.16823580164695046,2.6578538583714315,0.2680000000000007,0.5090000000000003,0.11599999999999999,0.09604451889792376,0.236160374771142,0.04547902660312132,
,1000m,0.05895380971679909,11.719064459008358,1.5202479492694434,12.708306969593199,0.2680000000000007,0.9529999999999994,0.149,0.09604451889792376,0.286160374771142,0.04547902660312132,
,2000m,0.05895380971679909,33.743001693706645,2.8613403936557913,36.56946472259588,0.2680000000000007,1.1770000000000014,0.21700000000000003,0.09604451889792376,0.286160374771142,0.04547902660312132,
