场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程_fix,1σ,0.0056,0.0237,0.0235,0.0243,0.0,0.007,0.004,0.0075,0.0268,0.0005,100.0,62772.6
,2σ,0.0085,0.0074,0.0265,0.0113,0.0,0.0,0.0,0.0075,0.0168,0.0495,,
,3σ,0.0095,0.0052,0.0295,0.0108,0.001,0.001,0.001,0.0075,0.0132,0.0305,,
,RMS,0.0402,0.0446,0.0346,0.0601,0.0267,0.0274,0.0148,0.0297,0.0307,0.0713,,
,MAX,0.642,0.6068,0.2205,0.8758,0.423,0.485,0.227,0.4025,0.5468,0.2405,,
