场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程,1σ,0.0001,0.0259,0.0085,0.0259,0.001,0.011,0.003,0.0175,0.0168,0.0005,86.46,62772.6
,2σ,0.0037,0.0107,0.0465,0.0113,0.0,0.001,0.001,0.0175,0.0068,0.0495,,
,3σ,0.0076,0.0063,0.0295,0.0098,0.001,0.001,0.001,0.0075,0.0132,0.0305,,
,RMS,0.4437,0.3619,0.1818,0.5726,0.0344,0.0313,0.0152,0.0297,0.0309,0.0721,,
,MAX,5.1583,5.4797,11.8025,6.2562,0.423,0.485,0.227,0.4025,0.5468,0.2405,,
